Commentaire;Pseudo;Catégorie;;Traduction FR
Ella transforma el agua en coca-cola 😂;edgar.coeto.39;Harcèlement, Religion;🔴;"""Elle a transformé l’eau en Coca-Cola."""
When a pig can represent a sport? I just dont understand;edwardkoagow;Insulte, Grossophobie;🔴;"""Quand un cochon peut représenter un sport ? Je ne comprends tout simplement pas."""
Religião e preconceito, duas desgraças...;ehrlanne;Religion;🆗;Religion et préjugés, deux malédictions. Je suis libre des deux.
Tellement puissante et rayonnante 😍♥️🔥;el.iise;Soutiens;🆗;So powerful and radiant
C'est insupportable d'être athée en ce bas monde...;el0isid;Religion;🆗;-
She should be in a farm. 🐄;elderwilfrido;Grossophobie, Harcèlement;🔴;"""Elle devrait être dans une ferme."""
♥️♥️👏👏 bravo ma belle 🔥♥️;elisabeth_serrand;Soutien;🆗;
Who’s stupid idea was this;elizabethyakoo;Critique;🆗;"""De qui était cette idée stupide ?"""
She was promoting KFC she didn’t have anything with sport to do 😠😠;elizabethyakoo;Critique, Grossophobie;🆗;"""Elle faisait la promo de KFC, ça n'a rien à voir avec le sport"""
Queen ❤️🔥👏;elodeeeee;Soutiens;🆗;—
Tu seras punie pour ce que tu as fait;eloise_chupin;Menace;🔴;"""Tu seras punie pour ce que tu as fait."""
Satanica tu actuación, pero si no te quieres a ti misma con esa obesidad enferma, que vas a amar al@prójimo y a Dios;elsabracamonte23;Harcèlement, Grossophobie, Religion;🔴;"""Satanique ta performance, mais si tu ne t’aimes pas toi-même avec cette obésité maladive, comment vas-tu aimer ton prochain et Dieu ?"""
Como uma pessoa assim foi chamada para abrir um evento esportivo?;elsou.jr;Critique;🆗;"""Comment une personne comme ça a-t-elle été appelée à ouvrir un événement sportif ?"""
Comment une personne sédentaire a-t-elle été appelée à un événement sportif?;elsou.jr;Critique, Moquerie;🆗;"""Comment une personne sédentaire a-t-elle été appelée à un événement sportif ?"""
❤️;elyasbentahar;Soutiens;🆗;—
Bravo pour cette merveilleuse soirée 👏 et ne laissez pas cette haine effrayante vous atteindre 💙;emblouet;Soutien;🆗;N/A
Jesus is king👑;emerson_mello15;Religion;🆗;"""Jésus est roi."""
Tout mon soutien pour faire face à cette vague de haine insupportable. Vous avez raison de porter plainte. Nous sommes très nombreux à vous soutenir 👏♥️😍;emilie_tournier_photo;Soutien;🆗;
💩💩💩💩💩💩💩💩💩;emiliowehbe7;Grossophobie;🆗;"""Émojis crotte."""
🖕🖕🖕🖕🖕;emiliowehbe7;Incitation à la haine;🔴;"""Émojis doigt d'honneur."""
Vous êtes superbe 🔥;emmanuellesomborn;Soutien;🆗;N/A
learn to respect so that you will be respected🙏;epan_png;Harcèlement;🆗;"""Apprends à respecter pour être respecté."""
the brain is filled with satanic fat so it doesn't funcation;epan_png;Harcèlement, Grossophobie, Religion;🔴;"""Le cerveau est rempli de graisse satanique donc il ne fonctionne pas."""
eric.lifts.weights: ate the whole meal;eric.lifts.weights;Grossophobie;🆗;Elle a mangé tout le repas.
Pança de neve e as sete refeições;ericdegodoy;Grossophobie;🆗;Ventre de neige et les sept repas (jeu de mots moqueur).
💩💩💩;erickbernard.94;Insulte;🆗;Caca (insulte).
Disrespect!;escapefromring;Insulte;🆗;Manque de respect !
Creo que no hay que burlarse de la creencia de otros...;esmeralda.watercolors;Religion;🆗;Je pense qu'il ne faut pas se moquer des croyances des autres et les respecter.
💜🤩😍🔥😘💜😍🎉🤩💜;essarrpea;Soutien;🆗;-
Vous et les artistes de ce tableau avez été extraordinaires, sublimes, joyeux, festifs et olympiens !!! Bravo à tous et soutien, coeur et douces pensées pour vous ❤️;etabard;Soutien;🆗;
Soutien ❤️🔥;ethos__art;Soutien;🆗;Soutien.
Thanks Barbara for being so brave and for your incredible performance! It is a shame people can have so many concepts and misunderstandings. Keep up with your good vibes! ❤️❤️❤️;etziakame;Soutien;🆗;
♥️;eurovision_is_my_boyfriend;Soutien;🆗;N/A
♥️♥️♥️;eve.ftr;Soutien;🆗;N/A
Shame on u !;evet_e;Insulte;🆗;Honte à toi !
♥️🫶👏🇫🇷;ewakapica12;Soutien;🆗;
Your life seems so colorful and joyful. You are so much better than those pathetic, backward commenters. Go ahead and don't look back at them. Greetings from Poland.;ewelinapitt;Soutien;🆗;
The worst thing is. She's not shy about put photo that cause controversy as if she doesn't care;exa_lopion_alegare;Critique;🆗;"""Le pire, c'est qu'elle n'a même pas honte de poster des photos qui créent la controverse."""
🐳;exquter;Grossophobie;🆗;Baleine (insulte).
Ryan Spellman (Prime Video & Amazon Studios)…. Poor boi..;f.m4roni;Insulte;🆗;-
👏👏👏;fabrice_dauphin;Soutien;🆗;Applaudissements (soutien).
Vous êtes magnifique! Bravo et merci !!! ❤️;fabrice326;Soutiens;🆗;
U forgot the jewish part;falasca.as;Harcèlement, Religion;🔴;"""Tu as oublié la partie juive."""
Force et courage ! ♥️;familleloutre;Soutien;🆗;"""Force et courage !"""
👏👏;fanto1819;Soutien;🆗;-
Nous t’avons découverte pour l’ouverture...;farmers.in.provence;Soutien;🆗;-
🫶;faustinedelbourg;Soutien;🆗;-
🤡🤡🤡🤡;fck_lnstagram;Insulte;🆗;Clown.
Fat brain;fdcoser;Grossophobie;🆗;Cerveau gras.
Merci c'était génial la cérémonie d'ouverture, j'ai dansé depuis mon lit comme jamais ! ♥️;fefedesvignes;Soutien;🆗;N/A
Quelle reine cette jeune femme 👑;femagaly;Soutien;🆗;N/A
It is the worst representation...;feoxem;Grossophobie, Religion;🆗;C'est la pire représentation de Jésus que j'ai jamais vue, comment peuvent-ils mettre une femme grosse.
Verme;fernandogasparetti;Harcèlement;🔴;"""Ver de terre."""
I-C-O-N-I-C!!! 💖💖💖👏👏👏;filipkosatik;Soutien;🆗;
🐋🐋🐋🐋🐋🐋🐋🐋🐋;fitbabescos;Grossophobie;🔴;"""Baleine"" (représenté par des emojis)"
Hey Optimus Prime, please tell us what is your favorite sport.;fkautzmann;Insulte;🆗;-
Falam de amor e respeito mas é isso que mais falta...;flavia_moraes_18;Religion;🆗;Ils parlent d'amour et de respect, mais c'est ce qui manque le plus.
Embarrassing;flimflam__;Insulte;🆗;Gênant.
Beauté suprême ❤️❤️;floraiattoni;Soutien;🆗;N/A
Love and support;flossforever;Soutien;🆗;"""Amour et soutien."""
Didn't know gorlock took part of this whole madness;fragsterrn;Moquerie;🆗;N/A
Absolutely here for you and Support the incredible performance 💯. Let them weep. They are not about Unity only division!;frazermark;Soutien;🆗;"""Je suis absolument là pour te soutenir et ta performance incroyable. Laisse-les pleurer. Ils ne prônent que la division."""
😍😍😍;frederiketaph;Soutien;🆗;N/A
Vive le Christ-Roi. Il t'attend. La Croix a été aussi pour toi. Repents-toi!;freitasgillian;Religion, Incitation religieuse;🆗;"""Vive le Christ-Roi. Il t'attend. La croix était aussi pour toi. Repens-toi !"""
My fellow Christians... Ur being embarrassing and hateful;fullasugar;Soutien;🆗;Mes chers chrétiens, vos commentaires sont honteux et haineux.
You should be ashamed of yourself...;g_la629;Religion;🆗;Tu devrais avoir honte. Pourquoi ne te concentres-tu pas sur le Seigneur ?
Christ is KING 👑 repent;g1rlonearth;Religion;🆗;Christ est roi, repens-toi.
Viva Cristo Rey!;gabriel.aguilar.m;Religion;🆗;
♥️♥️♥️;gabriely_almeida88;Soutien;🆗;
♥️;gabruschka;Soutien;🆗;
❤️❤️❤️❤️❤️❤️👑👑👑👑👑👑🔥🔥🔥🔥💪💪💪💪💪💪💪💪;gameover.oklm;Soutien;🆗;N/A
❤️👑;garance_svstr;Soutien;🆗;N/A
BRAVO QUEEN !!! 👑❤️;garanceenflammes;Soutien;🆗;N/A
you are marvelous 💜;gatoterror;Soutien;🆗;N/A
🫶🙌❤️;gaya2931;Soutiens;🆗;—
♥️🔥👑;gege.sab;Soutien;🆗;N/A
❤️👑❤️ Amour et soutien;georgespalissandre;Soutien;🆗;-
Ascoquerosi;geovanigonzalezchi;Insulte;🆗;Dégoûtant.
It was all gross. You are part of the vomitorium.;gicu.petrovay;🆗;🔴;"""Tout cela était dégoûtant. Tu fais partie du vomitoire."""
Ela engoliu os outros artistas?;gilfit_;Grossophobie;🆗;Elle a avalé les autres artistes ?
Jesus is KING 👑;ginamacukatic;Religion;🆗;
You are incredible!! 🔥♥️👑;ginger_ninja666;Soutiens;🆗;Tu es incroyable !! 🔥♥️👑
🤡🎪;ginnao;Insulte;🆗;- (référence à un clown)
Burguer King👑;gkskkqka;Grossophobie, Insulte;🆗;-
"We will all be judged on """"Judgment DAY"""".";glowafterdark;Religion;🆗;"Nous serons tous jugés lors du ""Jour du Jugement""."
May God have mercy on your soul when you're close to death;goatee54;Religion, Menace;🔴;Que Dieu ait pitié de ton âme quand tu seras proche de la mort.
Tu es obèse.;gohu_l;Grossophobie;🔴;
Barbara t'es la meilleure 👑♥️ et t'es une best of the best djette ! On a pas oublié ce que tu as fait pour nous pendant le confinement 🔥 Ni quand tu mixais au Rosa 😍 Keep shining and FUCK IDIOTS;goldiepan;Soutien;🆗;N/A
Total soutien à vous👏🔥;gomette.3;Soutien;🆗;N/A
Na próxima olimpiadas eu vou poder participar kkkkkk;gracacrvgb.ribeiro;Moquerie;🆗;"""Aux prochaines olympiades, je vais pouvoir participer kkkkkk"""
Christ is King 👑;graceandtruth23;Religion;🆗;Christ est roi.
❤️ l'amour est plus fort que la haine.;gramineeoceansediment;Soutien;🆗;-
Tellement fière et honorée d’avoir une artiste / activiste complète lors de cette cérémonie d’ouverture des JO. Merci mille fois;green_mind_v;Soutiens;🆗;—
♥️;grldn.chvlr;Soutien;🆗;Cœur (soutien).
😍🦜🌳;guayapi;🆗;—;—
Did anyone bng u I very much doubted 😂;gudbyeinhereye;Harcèlement;🔴;
Jesusss ❤️ The only king;guihtw;Religion;🆗;"""Jésus ❤️ Le seul roi."""
Honte à toi!!;guillaume_gerino;Discrimination (religion);🔴;Shame on you!!
Bravo Barbara for your amazing olympic performance ! please don’t pay attention to stupid comments 👑♥️👑♥️👑 You are Talented & Flamboyant keep going;guillaume_lerebour;Soutien;🆗;"""Bravo Barbara pour ta performance olympique incroyable. Ne fais pas attention aux commentaires idiots."""
Que du love pour toi ♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️ merci pour cette soirée incroyable ! Et merde aux haters 😃;guillounours;Soutiens;🆗;"""Que de l'amour pour toi ♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️ merci pour cette soirée incroyable ! Et merde aux haineux 😃"""
Hugh mungus;guin321;🆗;🔴;"""Enorme"""
Jesus is king ✝️⛪️ If you are so tolerant and loving, then respect Christianity. We will forgive you, but if you will disrespect Islam, you will be destroyed;gwiezdny_projektor;Religion, Menace;🔴;"""Jésus est roi ✝️⛪️. Si tu es si tolérant(e) et aimant(e), alors respecte le christianisme. Nous te pardonnerons, mais si tu manques de respect à l'Islam, tu seras détruit(e)."""
🥴👎🏻;hannapadme_anapaula;Insulte;🆗;Désapprobation.
Bravo! ❤❤;happyfamilyetcie;Soutien;🆗;"""Bravo !"""
You’re a P I G;hcberns_ochosais;Harcèlement, Grossophobie;🔴;"""Tu es un cochon."""
Bora derrubar a página galera;hcs_8;Discrimination (psychophobie);🔴;Let’s take down the page guys
Butch indeed 😂😂😂;hectorrivero18;Insulte;🆗;"En effet, ""butch""."
Je vous ai trouver magnifique dans cette tenue ♥️♥️ une vraie muse comme dans hercule 😍;helenamalfoy07;Soutien;🆗;N/A
♥️♥️♥️♥️♥️♥️♥️;helenebek;Soutien;🆗;N/A
Your set was fire 🔥 thank you!♥️;hell_essia;Soutiens;🆗;"""Ton set était incroyable 🔥 merci ! ♥️"""
Thais carla do Brasil;henrique7.xs;Grossophobie;🆗;Thaís Carla du Brésil.
We had tiesto in 2004.. now we have this..;herenownotforever047;Insulte;🆗;On avait Tiesto en 2004... et maintenant on a ça...
"Pour la diète c'est """"comme j'aime"""" le sponsor ?";herve.daul;Discrimination (grossophobie);🔴;"For the diet is it ""as I like"" the sponsor?"
Meuf t’as déchiré! Trop belle trop stylé!!! ❤️❤️❤️❤️❤️;hervedpt;Soutiens;🆗;Girl you rocked it! So beautiful so stylish!!! ❤️❤️❤️❤️❤️
Hard to believe that Christ even died for someone like you. But he indeed did. Fascinating how vast the love of our Lord is. I would not be this kind if i was him, lucky for yall i am not him;hgamatt777;Religion;🔴;"""C'est difficile de croire que Christ est même mort pour quelqu'un comme toi. Mais c'est en effet ce qu'il a fait. Fascinant de voir l'immensité de l'amour de notre Seigneur. Je ne serais pas aussi gentil si j'étais lui, heureusement pour vous, je ne suis pas lui."""
The hatred is so uncalled for. Only religious people saw it as religious. Given that the origin of the Olympics IS GREEK, I took this as a Greek fest. If people studied history, it tracks. If you don’t like something on TV, change the channel. No one was forcing anyone to watch it. People nitpick every Olympics' opening and closing ceremonies and find things to be offended about. Especially so-called offended Christians. Not very Christ-like to call for such hatred and violence.;hollyp01;Soutiens;🆗;"La haine est injustifiée. Seuls les religieux y ont vu un aspect religieux. Les JO sont d'origine grecque, j'ai vu ça comme une fête grecque. Si les gens étudiaient l'histoire, cela collerait. Si vous n'aimez pas quelque chose à la télé, changez de chaîne. Personne ne vous forçait à regarder. Les gens critiquent chaque cérémonie des JO. Les chrétiens offusqués ne sont pas très ""Christ-like"" à appeler à tant de haine et de violence."
Reste belle comme ça..;homme_cameleon1;Soutien;🆗;
The hungry game;hossamzayn;Moquerie;🆗;"""Le jeu de la faim."""
Merci pour ce moment inoubliable ! ❤️🏳️‍🌈🇫🇷;hudanowmad;Soutien;🆗;"""Merci pour ce moment inoubliable."""
You will suffer;iam_rob1n;Harcèlement, Menace;🔴;"""Tu vas souffrir."""
Comment peut-on ne pas aimer une image si mignonne...;ieprnel;Soutien;🆗;-
WALE 🐳;iftds77;Grossophobie;🆗;Baleine
RELIGIOUS INTOLERANCE;iftds77;Religion;🆗;Intolérance religieuse
VADE RETRO SATANA;iftds77;Religion;🆗;-
JESUS LIVE and the JUSTICE of GOD no FAIL.. espero que estejas viva e acordada para ver com os seus próprios olhos que com Deus não se brinca .. ele é bom mais acima de tudo justo;igorcarlo8;Religion;🆗;"""JÉSUS VIT et la JUSTICE de DIEU ne FAIT pas d'erreurs... J'espère que tu seras vivante et éveillée pour voir de tes propres yeux qu’on ne plaisante pas avec Dieu."""
e a todos vocês que estão indgnidados com esse teatro, não se revoltem, pois é o que o mal quer.. o mal não pode com Deus então o máximo que ele faz é zombar, mas se vocês acreditam fielmente em Jesus não desanimem, pois estamos no caminho certo e o mal esta desesperado...;igorcarlo8;Religion;🆗;"""À vous tous indignés par ce théâtre, ne vous révoltez pas car c’est ce que le mal veut. Le mal ne peut pas vaincre Dieu, donc il se contente de se moquer."""
Jesus King and Live;igorcarlo8;Religion;🆗;"""Jésus est roi et vivant."""
Don't disrespect the Lord again.;ikm_anthony;Religion;🆗;Ne manque pas de respect au Seigneur à nouveau.
you should be ashamed of yourself;imbooredddd;Critique;🆗;"""Tu devrais avoir honte."""
❤️❤️❤️;imgausty;Soutien;🆗;N/A
On t’aime ♥️;immoralkids;Soutien;🆗;-
Merci vous êtes magnifique !!!!❤️❤️❤️❤️;impassedubonheur;Soutiens;🆗;—
A cette Queen courageuse qui est un model d'inspiration en termes de valeurs et de combats, qui n'hésite pas à être sur le devant de la scène. Tu incarnes tant, je veux dire que tu reçois tant de haine mais aussi de soutien, car tu rassembles. Je veux marcher à tes côtés et j'en suis fier. Merci du courage que tu incarnes et nous donnes.;indianaclems;Soutiens;🆗;
❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️;ingridvpelzo;Soutien;🆗;N/A
♥️♥️♥️♥️♥️♥️♥️♥️♥️;ionnies;Soutien;🆗;-
Go to Burguer King Jabba;iosonoiago;Harcèlement, Grossophobie;🔴;
Ya deja a Jesús ya pasaron días y todavía lo traes en la.panzota que no te llenas con lo que tragas. Le religión no tiene la culpa de tu cuerpo no te enojes con Dios opérate y asunto arreglado.;irashemita;Grossophobie, Religion;🔴;Arrête avec Jésus, ça fait des jours et tu l'as toujours dans ton gros ventre, tu ne te remplis jamais de ce que tu manges. La religion n'a rien à voir avec ton corps, ne t'énerve pas contre Dieu, fais-toi opérer et problème réglé.
People like you are the ones that are causing the end of western civilization….;irriducibili013;Critique;🆗;"""Des gens comme vous sont ceux qui causent la fin de la civilisation occidentale..."""
If anyone laughs at your faith, pray for them. There will be no laughing matter at the day of judgement. St. John Chrysostom. - Christ is King👑✝️;is.jovic;Religion;🆗;"""Si quelqu'un se moque de ta foi, prie pour eux. Il n'y aura rien de drôle le jour du jugement."""
Jesus loves you.;isaqueverissimo;Religion;🆗;Jésus t'aime.
@barbarabutch de outras religiões...;isi_silveira;Religion;🆗;Vous vous moquez des chrétiens, mais pas d'autres religions. J'espère que la justice sera faite.
👑👑♥️;ismxhxne;Soutiens;🆗;👑👑♥️
Laugh now. Cry later;issyluu;Discrimination (psychophobie);🔴;Ris maintenant. Pleure plus tard
yuck;isyhan1;Insulte;🆗;Dégueulasse
😂😂😂😂😂;italo_raffaell;Moquerie;🆗;Aucun texte à traduire
Shit, you disgusted us. I hope we go back to the way we were before, and anyone who becomes homosexual will be sentenced and imprisoned, so that we can get rid of people like you, you despicable people.;its.barbbie;Harcèlement, Homophobie, Incitation à la haine;🔴;
Is gaining weight a sport? 💩;itslopez.de;Grossophobie, Harcèlement;🔴;"""Prendre du poids est-ce un sport ?"""
Suis;itsmedwightlariza;Harcèlement;🆗;"""Suicide."" (interprétation probable)"
Looking BEAUTIFUL✨;itsvinnyjustvinny;Soutien;🆗;"""Tu es magnifique."""
Um dia pagarás essa conta. Experimenta ir a um restaurante, pedir uma comida e sair sem pagar? Pois é, a conta chega. Pensam que blasfemar fica por isso mesmo? A justiça divina é a única que não falha nunca.;ivanafranco2021;Intimidation, Religion;🔴;"""Un jour tu paieras cette facture. Essaie d'aller dans un restaurant, de commander un plat et de sortir sans payer ? Et bien, la facture arrive. Vous pensez que blasphémer reste sans conséquences ? La justice divine est la seule qui ne faillit jamais."""
Poor lady, hope she gets help..;ivanastricevic;Harcèlement, Grossophobie;🔴;"""Pauvre femme, j’espère qu’elle recevra de l’aide."""
U should change your aim bro.. reduce some weight! That fat makes your brain not thinking properly;ivydxpaula;Grossophobie;🔴;"""Tu devrais changer ton objectif, mec... perds un peu de poids ! Cette graisse empêche ton cerveau de bien fonctionner."""
Jesus is the King👑;j.t.iglesias;Religion;🆗;Jésus est le roi👑
Hugh tuah;ja4kub8;Insulte;🆗;-
Karma…;jacquesboyer94;Critique;🆗;"""Karma..."""
❤️❤️❤️❤️❤️;jadesequeval;Soutien;🆗;N/A
L'amour déborde;jagu.mickael;Soutien;🆗;-
Je suis Barbara ! 🇫🇷🗽🫶;jaguarelektronik;Soutien;🆗;
Qui a dit « aimez-vous les uns les autres » déjà ?;jaja_steph;Soutien;🆗;
Jesus is King;jamesinjesus;Religion;🆗;
G0rd4 0ta;jc_urrutiaa;Insulte;🆗;"L'expression ""gorda ota"" en espagnol peut être traduite littéralement par ""grosse otarie"" en français. C'est une insulte péjorative qui vise à se moquer du poids ou de l'apparence physique d'une personne, en utilisant le terme ""gorda"" pour ""grosse"" et ""ota"", qui se réfère souvent à une otarie, une créature marine. C'est donc une manière insultante de désigner quelqu'un en insinuant qu'elle est grosse ou peu attrayante."
❤️;jcamberu;Soutien;🆗;N/A
👑👏👑❤️;jcbreysse;Soutien;🆗;N/A
😍👏👏👏;jean.marcel.alencar;Soutien;🆗;N/A
💖🫶;jeannejerosme;Soutien;🆗;
Hog devil;jelas_kesenenganmu;Insulte, Grossophobie, Religion;🔴;Diable cochon
👑;jennii_flo;Soutien;🆗;N/A
Vile sinister man.;jenyefromtheblock;Insulte;🆗;Homme vil et sinistre.
On t’aime ! ♥️;jeremybois;Soutiens;🆗;"""On t'aime !"""
❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️;jerome_galvin_;Soutien;🆗;
Emagrecer não quer né!;jessica_freitasnay;Grossophobie;🆗;Tu ne veux pas perdre du poids, hein ?
Hayawene;jfakhri;Insulte;🆗;"Le mot ""hayawene"" semble être dérivé de l'arabe (حيوان), qui signifie ""animal"". Utilisé dans un contexte insultant, il peut être interprété comme ""bête"" ou ""abruti"", une insulte visant à déshumaniser la personne ciblée."
Obesidad en su máxima degeneración.;jhumbertohe;Grossophobie, Harcèlement;🔴;"""Obésité dans sa dégénérescence maximale."""
You are like the Statue of Liberty…..talking about the total weight;jigante_jack;Discrimination (grossophobie);🔴;Tu es comme la Statue de la Liberté….. parlant du poids total
VADE RETRO SATANA;jim._.greece;Harcèlement, Religion;🔴;
Unite people by making fun of them? Show some respect if you want to be respected;jime_mms;Harcèlement;🆗;"""Unir les gens en se moquant d’eux ? Montre du respect si tu veux être respectée."""
LOVE YOU ICON;jimmychakar.jpg;Soutien;🆗;N/A
Devil 😈;jimymansour_;Insulte, Religion;🆗;Diable.
King Jesus 👑;jireh_taxi;Soutiens;🆗;King Jesus 👑
Superbe;jo_manie;Soutien;🆗;N/A
JESUS IS KING 👑;joalajoie;Religion;🆗;"""Jésus est roi."""
Jesus still loves you. The creator of heavens and the earth still loves you;joemualele;Religion;🆗;"""Jésus t'aime toujours. Le créateur des cieux et de la terre t'aime toujours."""
They should've used David Guetta instead of u. 🖕 Alphabet Mafia;joey.zaradic;Homophobie, Insulte;🔴;Ils auraient dû utiliser David Guetta à ta place. 🖕 Mafia de l'alphabet (LGBTQ)
❤️;johannacalligher;Soutien;🆗;N/A
❤️❤️❤️;jolienana.off;Soutiens;🆗;❤️❤️❤️
Une magnifique découverte. Je me ferai un plaisir de faire tourner vos playlist sur mon lieu de travail. Je suis horrifiée par ce déferlement de haine. Soyez forte et courageuse. 😍;joliniddamours;Soutien;🆗;N/A
Si tu no respetas, no pidas respeto.;joliverla;Religion;🆗;Si tu ne respectes pas, ne demande pas de respect.
🤍🤍🤍;jonathan.steuer;Soutien;🆗;N/A
What did you think was gonna happen??? No one liked It!!!! 😂😂😂😂;jordi5q;Insulte;🆗;Que pensais-tu qu'il allait se passer ? Personne n'a aimé.
Save The Whalles;joseantoniio8;Grossophobie;🔴;
Vous êtes une personne dégoûtante qui se moque des catholiques et des chrétiens. Voulez-vous l'inclusion, s'il vous plaît ? Moi, qui suis une personne homosexuelle, j'ai des limites, mais je peux vous prêter ces bêtises parce qu'ils n'en veulent pas parce que j'ai mérité ma place. respect.;josue_badillo15;Harcèlement, Religion;🆗;N/A
It was so great, queen! 🌈;jovenj_;Soutien;🆗;"""C’était génial, reine !"""
You’re a disgrace...;jramirez218;Religion, Haine;🔴;Tu es une honte, le jugement de Dieu viendra pour toi.
Place à l’Amour ❤️;ju_enjoy;Soutiens;🆗;—
Sem vergonha;juancarlos.telloconovilca;Insulte;🆗;"""Sans vergogne."""
Majim boo;juancarlos.telloconovilca;Insulte;🆗;"""Majim boo."""
🚮🗑️🚮🗑️;juancmata;Insulte;🆗;Déchets
💕💕💕💕💕💕💕;judithenry75;Soutien;🆗;
JESUS IS KING!!;julia.keller1980;Religion;🆗;"""JÉSUS EST ROI !!"""
Christ is King✝️✝️;julia.tkl_;Religion;🆗;"""Christ est roi."""
👑♥️;juliamalinbaum;Soutien;🆗;
We love youuuuu🔥;julie.legrd;Soutien;🆗;N/A
👑❤️;juliette.montoc;Soutien;🆗;N/A
👏👑♥️;juliette__fleur;Soutien;🆗;N/A
Vous venez entacher l’image du Christ...;juliettekerboua;Religion;🆗;-
💩💩💩💩💩;julio20mas;Insulte;🆗;Caca (insulte).
É assim a galera da lacração conseguiu destruir...;juniorrocha.jor;Religion, Insulte;🆗;Ils ont détruit l'ouverture des JO. Ils demandent du respect mais n'en donnent pas.
STPDTY AT ITS FINEST;junryllight;Critique, Moquerie;🆗;N/A (abréviation sans sens clair)
Ozempic games;jurgencrz;Harcèlement, Grossophobie;🔴;Référence péjorative à un médicament utilisé pour la perte de poids.
Stop lying with your caption. You made a mockery of a religion which you could have easily avoided & now you are claiming to be a victim.;just_wale;Religion;🆗;"""Arrête de mentir, tu as tourné une religion en dérision et maintenant tu te fais passer pour une victime."""
Loved your performance;justusleeg5;Soutien;🆗;N/A
Tu mérites tout l’amour du monde...;juuliesra;Soutien;🆗;-
You have cholesterol and nothing with sport...;kalinamaja;Grossophobie, Religion;🆗;Tu as du cholestérol et rien à voir avec le sport, laisse le christianisme tranquille, monstre.
L1X0 simplesmente L1X0;kalpter_prado;Insulte;🆗;Déchet, simplement déchet
❤️❤️❤️❤️;kamelianeko;Soutiens;🆗;—
buda;kamilly_ky01;Discrimination, Religion;🔴;
Queen;kamoff_;Soutien;🆗;-
Magnifique !!! ♥️♥️♥️♥️ tu es une Queen 👑;kanokero;Soutien;🆗;N/A
France just found the perfect person to represent them at the opening of the world’s biggest sporting event! Impressive;kareemyasser;Soutien;🆗;
❤️;karenhottois;Soutien;🆗;N/A
WAW YOU LIKE PREGNANCY PITBULL BIG DOG !!!!!;kariageyatabe;Grossophobie, Harcèlement;🔴;"""WAW, tu ressembles à un pitbull enceinte, un gros chien !!!!"""
Parabéns gata, nota dó;karlla.apaschoal;Soutien;🆗;"""Bravo, ma belle, tu as eu une bonne note."""
CERDO REPUGNANTE;katana_doll;Grossophobie;🔴;"""PORC RÉPUGNANT"" (en espagnol)"
🫶;katarzynaparuch;Soutien;🆗;N/A
Jesus 🙏❤️💕😍;kero__sabry;Religion;🆗;
قوصومك يا عجل;khalid.emammm;Grossophobie, Religion;🔴;Ton jeûne, espèce de veau (traduction en arabe).
🟦🟦🟦⬜️⬜️⬜️🟥🟥🟥 🏅;kid_bagbone;Insulte;🆗;N/A
You're a Queen. You have all my love and support 👸🏼💜🫶🏼👏🏼;kikaandkids;Soutien;🆗;Tu es une reine. Tu as tout mon amour et soutien.
Pior a organização aceitar uma coisa dessas;kim_campo_dall_orto;Harcèlement;🆗;"""C’est encore pire que l'organisation ait accepté ça."""
JESUS IS KING, always will be👑;kimpro_trainer;Religion;🆗;Jésus est roi, il le sera toujours.
Merci pour tout ♥️;kiran.rmd;Soutien;🆗;-
♥️♥️♥️😍😍😍;klem.vln;Soutien;🆗;Cœurs et visages amoureux (soutien).
Jesús is king ✝️;koalabab2024;Religion;🆗;"""Jésus est roi."""
It’s funny how you want to get on the Internet and say you’re hiring a lawyer because people are mocking you, yet you and that disgusting panel of people mocked Jesus and the last supper. Get over yourself you are not more important than God or Jesus.;koolgreenakers.plus2fit;Critique, Religion;🔴;"""C'est drôle comme tu veux te mettre sur Internet et dire que tu engages un avocat parce que les gens te moquent, alors que toi et ce panel dégoûtant vous avez moqué Jésus et la dernière Cène."""
Olympics are about sport and health. It s not about this clown;korsabas;Grossophobie, Insulte;🔴;"""Les Jeux olympiques sont à propos de sport et de santé. Pas à propos de ce clown."""
Feel sick;korsabas;Harcèlement;🔴;"""Je me sens mal."""
Fuerza!♥️ ♥️♥️👏👏👏;krikridesign;Soutien;🆗;"""Force !"""
Shame! Lét the Christiean olimpic game! Fuck LMBTQ!;krisztian7197;Religion, Homophobie;🔴;"""Honte ! Que commence les jeux olympiques chrétiens ! Merde au LGBTQ !"""
Jesus forgive them for they do not know what they are doing;krkelememories;Religion;🆗;"""Jésus, pardonne-leur, car ils ne savent pas ce qu'ils font."""
👏👏👏👑❤️;krkrkrkrrkk;Soutien;🆗;
😡😡😡😡;krystell_ldn;Insulte;🆗;N/A
Christ is KING❤️;krystell_ldn;Religion;🆗;"""Le Christ est ROI ❤️"""
